inception_date,currency,risk_classification,min_initial_participation,remarks,min_additional_participation,min_maintaining_balance,min_holding_period,cutoff_time_for_participationredemption,settlement_date,trust_fee_structure,early_redemption_fee,benchmark,fund_name,classification,navpu,bank,url
"Feb 8, 2021",USD,Aggressive,"USD 1,000.00",,USD 100.00,"USD 1,000.00",0 calendar days,02:00 PM,T+6 business days,1.75% as a % p.a. of the NAV ,N/A,50% MSCI World GR (USD) Index and 50% Bloomberg Barclays Global Aggregate Bond (USD Hedged) Index																		,Manulife Global Multi,Feeder Fund - Multi-Asset,0.8746,Manulife Investment Management and Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=402&bank_id=39
"Mar 25, 2019",USD,Aggressive,"USD 1,000.00",,USD 100.00,"USD 1,000.00",0 calendar days,02:00 PM,T+6 business days,1.75% as a % p.a. of the NAV,N/A,50% BoFA Merrill Lynch Fixed Rate Preferred Securities Index + 50% BoFA Merrill Lynch US Capital Securities Index													,Manulife Global Preferred Income Feeder Fund (USD Class A),Feeder Fund - Multi-Asset,0.8236,Manulife Investment Management and Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=358&bank_id=39
"Aug 1, 2018",USD,Aggressive,"USD 1,000.00",,USD 500.00,"USD 1,000.00",180 calendar days,02:00 PM,Subscription: T+1; Redemption: T+7 (end of day),1.00 % p.a.,1.00% of net asset value of units redeemed,35% MSCI World Index (USD Hedged) + 5% MSCI Emerging Markets Index (Unhedged) +25% Bloomberg Barclays Global Aggregate Corporate Index (USD Hedged) + 15% Bloomberg Barclays Global High Yield index (USD Hedged) + 20% FTSE World Government Bond 10+ Years In,BPI US DOLLAR INCOME FEEDER FUND,Feeder Fund - Multi-Asset,71.96,BPI WEALTH,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=346&bank_id=3
"May 23, 2022",PHP,Aggressive,"PHP 1,000.00",,"PHP 1,000.00","PHP 1,000.00",0 calendar days,02:00 PM,T+6 business days,N/A,N/A,50% MSCI World GR (USD) Index and 50% Bloomberg Barclays Global Aggregate Bond (USD Hedged) Index									,Manulife Global Multi,Feeder Fund - Multi-Asset,53.9104,Manulife Investment Management and Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=447&bank_id=39
"Feb 14, 2020",USD,Moderately Aggressive,"USD 3,000.00",,USD 50.00,"USD 3,000.00",0 calendar days,03:00 PM,"Subscription: T + 0 business days, Redemption: T + 5 to 7 business days",1.15% p.a.,none,"25% MSCI World Index, Net Dividends, USD Hedged, 15% MSCI Emerging Markets, Net Dividends, 40% Bloomberg US Corporate High Yield 2% Issuer Capped Bond Total and 20% Bloomberg EM Hard Currency Aggregate Index											",ATRAM Global Multi,Feeder Fund - Multi-Asset,0.829402,ATRAM Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=383&bank_id=31
"Jul 28, 2014",USD,Aggressive,USD 100.00,,USD 50.00,USD 100.00,0 banking days,03:00 PM,"Subscription: T + 0 business days, Redemption: T + 5 to 7 business days",1.20% p.a.,none,36% MSCI USA 500 Index; 24% FTSE World (ex-US); 24% Bloomberg U.S. Treasury Bellwethers: 5 Year; 16% FTSE Non-USD World Government Bond Index																		,ATRAM Global Allocation Feeder Fund (USD Unit Class),Feeder Fund - Multi-Asset,1.24867,ATRAM Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=234&bank_id=31
"Aug 27, 2015",PHP,Aggressive,"PHP 1,000.00",,PHP 500.00,"PHP 1,000.00",0 calendar days,12:00 PM,T + 3,None,None,60% Philippine Stock Exchange Index (PSEi) and 40%  Markit iBoxx ALBI Philippines 1-5												,Metro Aspire Balanced Feeder Fund,Feeder Fund - Multi-Asset,0.965395,Metropolitan Bank & Trust Co.,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=268&bank_id=1
"Mar 25, 2019",PHP,Aggressive,"PHP 1,000.00",,"PHP 1,000.00","PHP 1,000.00",0 calendar days,02:00 PM,T+6 business days,1.75% as a % p.a. of the NAV,N/A,50% BoFA Merrill Lynch Fixed Rate Preferred Securities Index + 50% BoFA Merrill Lynch US Capital Securities Index														,Manulife Global Preferred Income Feeder Fund (PHP Unhedged Class A),Feeder Fund - Multi-Asset,46.8285,Manulife Investment Management and Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=357&bank_id=39
"Feb 8, 2021",PHP,Aggressive,"PHP 1,000.00",,"PHP 1,000.00","PHP 1,000.00",0 calendar days,02:00 PM,T+6 business days,1.75% as a % p.a. of the NAV ,N/A,50% MSCI World GR (USD) Index and 50% Bloomberg Barclays Global Aggregate Bond (USD Hedged) Index																						,Manulife Global Multi,Feeder Fund - Multi-Asset,49.4537,Manulife Investment Management and Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=403&bank_id=39
"Aug 1, 2017",PHP,Moderate,"PHP 10,000.00",,"PHP 10,000.00","PHP 10,000.00",30 calendar days,11:00 AM,T + 4,1.00%,0.50%,		50% Bloomberg Philippine Sovereign Bond Index + 50% Philippine Stock Exchange Index				,CTBC Bank,Feeder Fund - Multi-Asset,0.8662,CTBC Bank (Philippines) Corp.,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=317&bank_id=36
